customer_id,event_date,event_type,symbol,market,theme
C001,2026-01-03,WATCH_ADD,NVDA,미국,AI·반도체
C001,2026-01-17,QUOTE_VIEW,SOXX,미국,AI·반도체
C001,2026-02-02,QUOTE_VIEW,005930,국내,AI·반도체
C001,2026-03-11,WATCH_ADD,TSLA,미국,모빌리티
C001,2026-04-08,QUOTE_VIEW,NVDA,미국,AI·반도체
C001,2026-06-12,QUOTE_VIEW,000660,국내,AI·반도체
C001,2026-07-20,QUOTE_VIEW,NVDA,미국,AI·반도체
C001,2026-08-14,RESEARCH_VIEW,SOXX,미국,AI·반도체
C001,2026-10-05,QUOTE_VIEW,TSLA,미국,모빌리티
C001,2026-11-27,RESEARCH_VIEW,005930,국내,AI·반도체
C002,2026-01-02,WATCH_ADD,VT,미국,글로벌분산
C002,2026-02-01,QUOTE_VIEW,VT,미국,글로벌분산
C002,2026-03-02,WATCH_ADD,BND,미국,채권
C002,2026-04-08,QUOTE_VIEW,VT,미국,글로벌분산
C002,2026-05-02,RESEARCH_VIEW,KODEXTRF,국내,자산배분
C002,2026-06-03,QUOTE_VIEW,VT,미국,글로벌분산
C002,2026-07-03,QUOTE_VIEW,BND,미국,채권
C002,2026-08-01,WATCH_ADD,TIGER미국S&P500,국내,글로벌분산
C002,2026-10-02,RESEARCH_VIEW,KODEXTRF,국내,자산배분
C002,2026-12-01,QUOTE_VIEW,VT,미국,글로벌분산
C003,2026-01-18,QUOTE_VIEW,TSLA,미국,모빌리티
C003,2026-02-10,WATCH_ADD,PLTR,미국,AI·소프트웨어
C003,2026-03-05,QUOTE_VIEW,000660,국내,AI·반도체
C003,2026-04-07,QUOTE_VIEW,NVDA,미국,AI·반도체
C003,2026-04-08,QUOTE_VIEW,TSLA,미국,모빌리티
C003,2026-05-03,WATCH_ADD,COIN,미국,디지털자산
C003,2026-06-01,QUOTE_VIEW,NVDA,미국,AI·반도체
C003,2026-07-19,WATCH_ADD,035720,국내,플랫폼
C003,2026-09-10,QUOTE_VIEW,SOXL,미국,AI·반도체
C003,2026-10-20,QUOTE_VIEW,TSLA,미국,모빌리티
C003,2026-12-08,QUOTE_VIEW,KODEX200,국내,국내지수

